対象	量	真値	実測	備考
理想マスクの分解	E(低)+E(高)−E(元)	0(厳密に直交)	1.9e-16	4 通りの遮断
ぼかしの分解	同上	0 のはず	0.53 %〜3.10 %	★直交しない(5 通りのノブ)。足せば戻るのに
同上	ノブを振ると	単調に減るはずだった	最悪は a=0.1	★外れ。両端でなく途中が最小
束ねる(遠ざかる)	周期 p の模様が消える幅	k = p(整数)	1.4e-14	5 通りの周期
同上	k = p ± 1 の振幅	sin(πfk)/(k sin(πf))	9.8e-15 のずれ	1 画素ずれると戻る
同上	束ねた絵そのもの	1 画素ずつ閉形式で書ける	2.8e-14	k = 1〜48 の全画素
同上	最大と最小で測った振幅	同じ閉形式のはず	20.66 % 小さい	★画素が山を踏まない k=6 で
モーフの面積	t への依存	2 次式(厳密)	2.4e-15	3 コマで全コマ予言
絵から測った面積	同上	同じ 2 次式	0.053 %	格子 128 では 1.10 %
細分と格子	予言誤差	同じ値になるはず	0.0e+00 の差	128×4分割 と 512 が一致
裏返るモーフ	絵から測った予言のずれ	最大値の 1/4	25.0 % / 25.0 %	★符号が消えるから
Catmull-Rom	制御点への距離	0	0.0e+00	通ることが定義
ベジエ	凸包の内側	全点	401/401	4 通りの制御点
切り替わる束ね幅	1/(2 fc) か	当たるはずだった	比 0.12〜0.34	★外れ。決めるのは高域の周期
