主張	測った量	実測	真値 / 期待
矩形膜の固有値	π²(m²+n²) との最大差	0.0e+00	0(閉形式・縮退の重複まで)
節線の本数	(m, n) = (3, 4) の縦 / 横	2 / 3	2 / 3(整数)
円膜の節円	半径 / J₀ の零点 / k	一致	J′₀ は腹であって節ではない
二重スリット	縞間隔の実測 / λD/d	0.9983	1(4 設定すべて 0.98–1.02)
回折格子	既存 grating_wavelengths で逆算した λ	550.0000 nm	550 nm(入れた値)
伝播しない次数	ピッチ 0.4 µm で伝播する次数	1 / 5	角度を捏造せず propagates=False
モアレ(45° 対 75°)	実測 / 予言	0.986	1(閉形式 1/(2 f sin(Δ/2)))
網点の濃度保存	4 周期の窓で平均した差	0.0517	0(捨てたのは階調だけ)
彫版線	インク率と w/d の差(濃淡 0.2)	0.0e+00	0(閉形式)
ハッチの向き	縞 30° に対するずれ	0.3°	0°(既存 structure_tensor_orientation が決める)
Lloyd	エネルギー 反復 0 → 16	2782566.02247 → 1491442.00715	単調減少(既存 stipple_energy が測る)
セル平均	平均と最小点が食い違うセル	0 個	0(L2 最適・全数走査)
